p/c, iter, r∞, r₂, ω
, 1, 0.0026259795, 3.7418416e-5, 1.0
c, 0, 0.05070009, 0.022097867, 1.0
, 1, 0.0013164803, 1.9053341e-5, 1.0
p, 0, 0.101430416, 0.06649162, 1.0
, 1, 0.0026325732, 4.162468e-5, 1.0
c, 0, 0.05082818, 0.02019977, 1.0
, 1, 0.0013197288, 1.3309163e-5, 1.0
p, 0, 0.101686016, 0.06565304, 1.0
, 1, 0.0026389807, 4.0249673e-5, 1.0
c, 0, 0.050955147, 0.02012174, 1.0
, 1, 0.0013228767, 1.2134973e-5, 1.0
p, 0, 0.10193969, 0.06199502, 1.0
, 1, 0.0026453808, 3.7716607e-5, 1.0
c, 0, 0.05108063, 0.0185721, 1.0
, 1, 0.0013260506, 1.1800443e-5, 1.0
p, 0, 0.10219034, 0.06304814, 1.0
, 1, 0.0026517399, 3.851701e-5, 1.0
c, 0, 0.05120621, 0.020153916, 1.0
, 1, 0.0013291948, 1.3836302e-5, 1.0
p, 0, 0.10244115, 0.06624301, 1.0
, 1, 0.0026579946, 4.0289837e-5, 1.0
c, 0, 0.051328488, 0.019103548, 1.0
, 1, 0.0013324246, 1.2145438e-5, 1.0
p, 0, 0.10268554, 0.062782094, 1.0
, 1, 0.0026645735, 3.8472826e-5, 1.0
c, 0, 0.05145269, 0.022466075, 1.0
, 1, 0.001335606, 1.5832284e-5, 1.0
p, 0, 0.1029338, 0.07028593, 1.0
, 1, 0.0026708804, 4.679917e-5, 1.0
c, 0, 0.05157339, 0.01919906, 1.0
, 1, 0.0013386309, 1.2815885e-5, 1.0
p, 0, 0.10317497, 0.06308359, 1.0
, 1, 0.002677068, 3.8659724e-5, 1.0
c, 0, 0.05169353, 0.020524934, 1.0
, 1, 0.0013416745, 1.3749739e-5, 1.0
p, 0, 0.1034149, 0.06251165, 1.0
, 1, 0.0026827343, 3.8123853e-5, 1.0
c, 0, 0.051812135, 0.021043487, 1.0
, 1, 0.0013446547, 1.6160911e-5, 1.0
p, 0, 0.103651434, 0.06459144, 1.0
, 1, 0.0026886351, 3.9284216e-5, 1.0
c, 0, 0.051932096, 0.01820874, 1.0
, 1, 0.0013476424, 1.3044379e-5, 1.0
p, 0, 0.103892185, 0.062569834, 1.0
, 1, 0.0026945546, 3.7995327e-5, 1.0
c, 0, 0.05204916, 0.018667635, 1.0
, 1, 0.0013505407, 1.306257e-5, 1.0
p, 0, 0.10412618, 0.06352993, 1.0
, 1, 0.0027002282, 3.8718055e-5, 1.0
c, 0, 0.052164465, 0.02098244, 1.0
, 1, 0.0013535302, 1.7450531e-5, 1.0
p, 0, 0.104354985, 0.06575281, 1.0
, 1, 0.0027064495, 4.059186e-5, 1.0
c, 0, 0.052281782, 0.020310933, 1.0
, 1, 0.0013565682, 1.3962182e-5, 1.0
p, 0, 0.104591936, 0.06637213, 1.0
, 1, 0.0027124435, 4.000166e-5, 1.0
c, 0, 0.05239658, 0.021272182, 1.0
, 1, 0.001359487, 1.3681988e-5, 1.0
p, 0, 0.104820095, 0.06603093, 1.0
, 1, 0.002718389, 4.0622643e-5, 1.0
c, 0, 0.05250974, 0.019540917, 1.0
, 1, 0.0013624709, 1.18987255e-5, 1.0
p, 0, 0.10504574, 0.06657308, 1.0
, 1, 0.0027241893, 4.0814146e-5, 1.0
c, 0, 0.05262181, 0.018934729, 1.0
, 1, 0.0013653189, 1.1211306e-5, 1.0
p, 0, 0.105271086, 0.06565008, 1.0
, 1, 0.0027299598, 4.000999e-5, 1.0
c, 0, 0.05273679, 0.018788895, 1.0
, 1, 0.0013683569, 1.1537425e-5, 1.0
p, 0, 0.105500765, 0.064505465, 1.0
, 1, 0.0027357638, 3.918073e-5, 1.0
c, 0, 0.05284693, 0.020745026, 1.0
, 1, 0.0013711918, 1.31843835e-5, 1.0
p, 0, 0.10572037, 0.06615866, 1.0
, 1, 0.0027416795, 4.0859366e-5, 1.0
c, 0, 0.05295848, 0.01971896, 1.0
, 1, 0.0013742149, 1.1660902e-5, 1.0
p, 0, 0.105944104, 0.067526534, 1.0
, 1, 0.0027475841, 4.108738e-5, 1.0
c, 0, 0.05306793, 0.019233894, 1.0
, 1, 0.0013770312, 1.2996298e-5, 1.0
p, 0, 0.10616285, 0.06578389, 1.0
, 1, 0.0027531832, 4.0152638e-5, 1.0
c, 0, 0.0531756, 0.019607486, 1.0
, 1, 0.0013797712, 1.3786014e-5, 1.0
p, 0, 0.106376894, 0.066190496, 1.0
, 1, 0.0027586967, 4.0597188e-5, 1.0
c, 0, 0.05328493, 0.020215292, 1.0
, 1, 0.0013824776, 1.4177617e-5, 1.0
p, 0, 0.10659611, 0.067326985, 1.0
, 1, 0.0027640723, 4.1230604e-5, 1.0
c, 0, 0.053391024, 0.019443043, 1.0
, 1, 0.0013852157, 1.335846e-5, 1.0
p, 0, 0.106808335, 0.07045164, 1.0
, 1, 0.002769675, 4.327617e-5, 1.0
c, 0, 0.05349586, 0.020642662, 1.0
, 1, 0.0013879258, 1.501193e-5, 1.0
p, 0, 0.10701701, 0.06777131, 1.0
, 1, 0.0027749501, 4.141926e-5, 1.0
c, 0, 0.053603128, 0.020132093, 1.0
, 1, 0.0013905708, 1.3725406e-5, 1.0
p, 0, 0.107232116, 0.06910205, 1.0
, 1, 0.002780307, 4.241588e-5, 1.0
c, 0, 0.053705797, 0.019472172, 1.0
, 1, 0.0013932381, 1.208411e-5, 1.0
p, 0, 0.10743624, 0.0668625, 1.0
, 1, 0.0027856082, 4.0641982e-5, 1.0
c, 0, 0.05380979, 0.020454628, 1.0
, 1, 0.0013957825, 1.3086039e-5, 1.0
p, 0, 0.107645206, 0.06718799, 1.0
, 1, 0.0027907975, 4.0938055e-5, 1.0
c, 0, 0.053910337, 0.019020732, 1.0
, 1, 0.0013984945, 1.1925413e-5, 1.0
p, 0, 0.107845284, 0.06824361, 1.0
, 1, 0.0027961992, 4.155049e-5, 1.0
c, 0, 0.054013, 0.01940362, 1.0
, 1, 0.0014010277, 1.16377705e-5, 1.0
p, 0, 0.10805117, 0.06959538, 1.0
, 1, 0.0028012544, 4.2913663e-5, 1.0
c, 0, 0.0541154, 0.021347003, 1.0
, 1, 0.0014036652, 1.4018889e-5, 1.0
p, 0, 0.10825618, 0.07247707, 1.0
, 1, 0.0028065108, 4.4167304e-5, 1.0
c, 0, 0.054215632, 0.02123593, 1.0
, 1, 0.0014061276, 1.3245144e-5, 1.0
p, 0, 0.10845655, 0.06929307, 1.0
, 1, 0.0028115064, 4.2146785e-5, 1.0
c, 0, 0.054314546, 0.018936409, 1.0
, 1, 0.0014087018, 1.2714561e-5, 1.0
p, 0, 0.10865263, 0.068159804, 1.0
, 1, 0.0028166175, 4.1435338e-5, 1.0
c, 0, 0.054414302, 0.019425254, 1.0
, 1, 0.0014112219, 1.3002776e-5, 1.0
p, 0, 0.10885405, 0.06906774, 1.0
, 1, 0.0028216578, 4.2068346e-5, 1.0
c, 0, 0.05451023, 0.019639142, 1.0
, 1, 0.001413662, 1.3358769e-5, 1.0
p, 0, 0.10904319, 0.06862832, 1.0
, 1, 0.00282659, 4.172792e-5, 1.0
c, 0, 0.054608703, 0.019069865, 1.0
, 1, 0.0014161598, 1.2867727e-5, 1.0
p, 0, 0.109242536, 0.06886614, 1.0
, 1, 0.0028315857, 4.1807245e-5, 1.0
c, 0, 0.054705396, 0.019953815, 1.0
, 1, 0.0014185924, 1.3777377e-5, 1.0
p, 0, 0.109434284, 0.0709028, 1.0
, 1, 0.0028365217, 4.3320826e-5, 1.0
c, 0, 0.05480081, 0.02063557, 1.0
, 1, 0.0014210083, 1.3290128e-5, 1.0
p, 0, 0.109625675, 0.07089094, 1.0
, 1, 0.0028412975, 4.3808424e-5, 1.0
c, 0, 0.054895915, 0.020731427, 1.0
, 1, 0.0014235098, 1.3390149e-5, 1.0
p, 0, 0.10981597, 0.07054095, 1.0
, 1, 0.002846364, 4.2971027e-5, 1.0
c, 0, 0.05499038, 0.019787556, 1.0
, 1, 0.0014258996, 1.262499e-5, 1.0
p, 0, 0.11000356, 0.069754675, 1.0
, 1, 0.0028510317, 4.2359858e-5, 1.0
c, 0, 0.0550841, 0.019983074, 1.0
, 1, 0.0014282838, 1.2502466e-5, 1.0
p, 0, 0.11018682, 0.07092835, 1.0
, 1, 0.0028558224, 4.339188e-5, 1.0
c, 0, 0.05517085, 0.019898448, 1.0
, 1, 0.0014304966, 1.2327228e-5, 1.0
p, 0, 0.11035994, 0.070093416, 1.0
, 1, 0.0028602742, 4.2561747e-5, 1.0
c, 0, 0.055259198, 0.01931885, 1.0
, 1, 0.0014327392, 1.1660644e-5, 1.0
p, 0, 0.11053686, 0.070552684, 1.0
, 1, 0.0028647855, 4.286946e-5, 1.0
c, 0, 0.055346057, 0.021018706, 1.0
, 1, 0.0014350209, 1.3337505e-5, 1.0
p, 0, 0.11071066, 0.072544076, 1.0
, 1, 0.002869349, 4.4276843e-5, 1.0
c, 0, 0.055435352, 0.021350073, 1.0
, 1, 0.0014372636, 1.423604e-5, 1.0
p, 0, 0.11088932, 0.07209266, 1.0
, 1, 0.0028740205, 4.4175973e-5, 1.0
c, 0, 0.055523567, 0.01962074, 1.0
, 1, 0.0014395658, 1.3004237e-5, 1.0
p, 0, 0.11106571, 0.07114259, 1.0
, 1, 0.002878584, 4.32413e-5, 1.0
c, 0, 0.0556105, 0.01914823, 1.0
, 1, 0.001441747, 1.2343694e-5, 1.0
p, 0, 0.1112401, 0.07142729, 1.0
, 1, 0.002882991, 4.3435106e-5, 1.0
c, 0, 0.0556985, 0.020092994, 1.0
, 1, 0.0014440268, 1.2810331e-5, 1.0
p, 0, 0.11141541, 0.07247311, 1.0
, 1, 0.0028875507, 4.419255e-5, 1.0
c, 0, 0.055784076, 0.019804047, 1.0
, 1, 0.0014462266, 1.3123633e-5, 1.0
p, 0, 0.111586444, 0.072313406, 1.0
, 1, 0.0028919764, 4.4124907e-5, 1.0
c, 0, 0.05587084, 0.02106941, 1.0
, 1, 0.0014484134, 1.4980012e-5, 1.0
p, 0, 0.11176093, 0.075359166, 1.0
, 1, 0.0028964356, 4.6459525e-5, 1.0
c, 0, 0.05595634, 0.02020749, 1.0
, 1, 0.0014506727, 1.3119412e-5, 1.0
p, 0, 0.11193148, 0.07267342, 1.0
, 1, 0.0029008538, 4.4186905e-5, 1.0
c, 0, 0.056042634, 0.020840706, 1.0
, 1, 0.0014527887, 1.2982451e-5, 1.0
p, 0, 0.11210405, 0.072806135, 1.0
, 1, 0.0029051565, 4.4251417e-5, 1.0
c, 0, 0.05612646, 0.019860363, 1.0
, 1, 0.0014549196, 1.2772732e-5, 1.0
p, 0, 0.112271115, 0.072732955, 1.0
, 1, 0.0029094368, 4.422268e-5, 1.0
c, 0, 0.056210734, 0.019492993, 1.0
, 1, 0.001457084, 1.2235525e-5, 1.0
p, 0, 0.11244008, 0.07336034, 1.0
, 1, 0.0029138103, 4.4643097e-5, 1.0
c, 0, 0.056295134, 0.02048877, 1.0
, 1, 0.0014592241, 1.251983e-5, 1.0
p, 0, 0.11260893, 0.07401015, 1.0
, 1, 0.0029181093, 4.521516e-5, 1.0
c, 0, 0.056376785, 0.020002643, 1.0
, 1, 0.0014613327, 1.2031945e-5, 1.0
p, 0, 0.11277143, 0.07387807, 1.0
, 1, 0.002922386, 4.500858e-5, 1.0
c, 0, 0.056460813, 0.021049643, 1.0
, 1, 0.001463525, 1.2733107e-5, 1.0
p, 0, 0.112939924, 0.07566857, 1.0
, 1, 0.0029267073, 4.626934e-5, 1.0
c, 0, 0.056542963, 0.020275678, 1.0
, 1, 0.0014656112, 1.2938234e-5, 1.0
p, 0, 0.113104224, 0.074113786, 1.0
, 1, 0.0029308721, 4.5176323e-5, 1.0
c, 0, 0.056624718, 0.021183109, 1.0
, 1, 0.0014677048, 1.3572043e-5, 1.0
p, 0, 0.11326801, 0.074531466, 1.0
, 1, 0.0029351115, 4.5232213e-5, 1.0
c, 0, 0.05670608, 0.02043548, 1.0
, 1, 0.0014698207, 1.31767165e-5, 1.0
p, 0, 0.11343004, 0.0743772, 1.0
, 1, 0.0029393323, 4.5249653e-5, 1.0
c, 0, 0.056787387, 0.02070781, 1.0
, 1, 0.0014719199, 1.3304554e-5, 1.0
p, 0, 0.113593094, 0.075575784, 1.0
, 1, 0.002943527, 4.5836237e-5, 1.0
c, 0, 0.056866683, 0.020708194, 1.0
, 1, 0.001473954, 1.3934166e-5, 1.0
p, 0, 0.11375033, 0.07535065, 1.0
, 1, 0.0029476583, 4.5812816e-5, 1.0
c, 0, 0.05694738, 0.020627307, 1.0
, 1, 0.0014760513, 1.3405399e-5, 1.0
p, 0, 0.113913305, 0.07492203, 1.0
, 1, 0.0029518008, 4.556603e-5, 1.0
c, 0, 0.057026416, 0.020841109, 1.0
, 1, 0.0014780778, 1.3109951e-5, 1.0
p, 0, 0.11407047, 0.075213104, 1.0
, 1, 0.0029558726, 4.5781635e-5, 1.0
c, 0, 0.057106502, 0.021301076, 1.0
, 1, 0.001480123, 1.3393511e-5, 1.0
p, 0, 0.11423107, 0.07593015, 1.0
, 1, 0.0029599965, 4.606116e-5, 1.0
c, 0, 0.05718445, 0.020732764, 1.0
, 1, 0.0014821496, 1.3212209e-5, 1.0
p, 0, 0.11438669, 0.07563644, 1.0
, 1, 0.002964031, 4.599933e-5, 1.0
c, 0, 0.057262853, 0.020305922, 1.0
, 1, 0.0014841314, 1.2871901e-5, 1.0
p, 0, 0.11454318, 0.07611647, 1.0
, 1, 0.0029680356, 4.632724e-5, 1.0
c, 0, 0.057340987, 0.020839171, 1.0
, 1, 0.0014861152, 1.3453446e-5, 1.0
p, 0, 0.114699654, 0.076293655, 1.0
, 1, 0.002972018, 4.633008e-5, 1.0
c, 0, 0.05741679, 0.020378137, 1.0
, 1, 0.001488125, 1.2466501e-5, 1.0
p, 0, 0.114850804, 0.075944, 1.0
, 1, 0.002976045, 4.6122885e-5, 1.0
c, 0, 0.05749423, 0.020965477, 1.0
, 1, 0.0014900584, 1.2824544e-5, 1.0
p, 0, 0.11500631, 0.077202596, 1.0
, 1, 0.0029799119, 4.6836616e-5, 1.0
c, 0, 0.057570256, 0.020740375, 1.0
, 1, 0.0014920607, 1.3419078e-5, 1.0
p, 0, 0.11515773, 0.0772635, 1.0
, 1, 0.002983939, 4.692964e-5, 1.0
c, 0, 0.057645276, 0.021178491, 1.0
, 1, 0.0014940314, 1.3313296e-5, 1.0
p, 0, 0.11530747, 0.077452324, 1.0
, 1, 0.0029878654, 4.707924e-5, 1.0
c, 0, 0.057721667, 0.021256581, 1.0
, 1, 0.0014959648, 1.420186e-5, 1.0
p, 0, 0.115460396, 0.07754842, 1.0
, 1, 0.0029917173, 4.7452948e-5, 1.0
c, 0, 0.057796285, 0.021148186, 1.0
, 1, 0.0014978666, 1.3290013e-5, 1.0
p, 0, 0.11560942, 0.07797228, 1.0
, 1, 0.0029955283, 4.7593676e-5, 1.0
c, 0, 0.057869583, 0.021247858, 1.0
, 1, 0.0014997814, 1.3301668e-5, 1.0
p, 0, 0.11575605, 0.07789787, 1.0
, 1, 0.002999425, 4.7340225e-5, 1.0
c, 0, 0.05794379, 0.020675976, 1.0
, 1, 0.0015003663, 1.3426114e-5, 1.0
p, 0, 0.11590458, 0.07737796, 1.0
, 1, 0.0030007437, 4.7038968e-5, 1.0
c, 0, 0.05801703, 0.021504441, 1.0
, 1, 0.0015004426, 1.3777338e-5, 1.0
p, 0, 0.11605093, 0.07829608, 1.0
, 1, 0.0030013472, 4.782303e-5, 1.0
c, 0, 0.058075994, 0.020740546, 1.0
, 1, 0.0015006736, 1.3232805e-5, 1.0
p, 0, 0.11616391, 0.077346526, 1.0
, 1, 0.0030020438, 4.696899e-5, 1.0
c, 0, 0.05809059, 0.021210292, 1.0
, 1, 0.0015009753, 1.3078436e-5, 1.0
p, 0, 0.116176754, 0.078203104, 1.0
, 1, 0.0030028261, 4.7859172e-5, 1.0
c, 0, 0.058097184, 0.0216495, 1.0
, 1, 0.0015013553, 1.41504715e-5, 1.0
p, 0, 0.11618131, 0.07829224, 1.0
, 1, 0.0030036531, 4.776204e-5, 1.0
c, 0, 0.058100976, 0.020883167, 1.0
, 1, 0.0015017092, 1.3079354e-5, 1.0
p, 0, 0.116184756, 0.07790693, 1.0
, 1, 0.0030045882, 4.7343885e-5, 1.0
c, 0, 0.05810289, 0.02090278, 1.0
, 1, 0.0015022308, 1.3363425e-5, 1.0
p, 0, 0.11618774, 0.07790556, 1.0
, 1, 0.0030055009, 4.7361504e-5, 1.0
c, 0, 0.05810459, 0.021055207, 1.0
, 1, 0.0015025996, 1.289029e-5, 1.0
p, 0, 0.116190374, 0.07818872, 1.0
, 1, 0.0030064844, 4.7596135e-5, 1.0
c, 0, 0.05810657, 0.020905735, 1.0
, 1, 0.0015031546, 1.265858e-5, 1.0
p, 0, 0.11619517, 0.078308396, 1.0
, 1, 0.0030080155, 4.7599366e-5, 1.0
c, 0, 0.058108106, 0.02111968, 1.0
, 1, 0.0015039388, 1.3624533e-5, 1.0
p, 0, 0.11619788, 0.07777483, 1.0
, 1, 0.0030087866, 4.73943e-5, 1.0
c, 0, 0.05810993, 0.020725422, 1.0
, 1, 0.0015041158, 1.269805e-5, 1.0
p, 0, 0.116201915, 0.07774746, 1.0
, 1, 0.0030100718, 4.7381483e-5, 1.0
c, 0, 0.05811181, 0.020795275, 1.0
, 1, 0.0015050322, 1.3140625e-5, 1.0
p, 0, 0.11620559, 0.07787093, 1.0
, 1, 0.0030109175, 4.749867e-5, 1.0
c, 0, 0.05811345, 0.020767147, 1.0
, 1, 0.001505183, 1.3536576e-5, 1.0
p, 0, 0.11620951, 0.077867955, 1.0
, 1, 0.0030124895, 4.7499572e-5, 1.0
c, 0, 0.05811552, 0.021053517, 1.0
, 1, 0.001506295, 1.341041e-5, 1.0
p, 0, 0.116213486, 0.078191325, 1.0
, 1, 0.0030132644, 4.7749087e-5, 1.0
c, 0, 0.058116846, 0.020467395, 1.0
, 1, 0.0015061479, 1.2976758e-5, 1.0
p, 0, 0.11621618, 0.077631705, 1.0
, 1, 0.0030143037, 4.7373782e-5, 1.0
c, 0, 0.05811861, 0.020760907, 1.0
, 1, 0.0015072953, 1.2990258e-5, 1.0
p, 0, 0.11622043, 0.07813523, 1.0
, 1, 0.0030155554, 4.7670535e-5, 1.0
c, 0, 0.05812046, 0.021063616, 1.0
, 1, 0.001507435, 1.2765626e-5, 1.0
p, 0, 0.11622378, 0.07906179, 1.0
, 1, 0.0030170977, 4.8595542e-5, 1.0
c, 0, 0.058121942, 0.021296868, 1.0
, 1, 0.0015085917, 1.2972534e-5, 1.0
p, 0, 0.11622693, 0.079658195, 1.0
, 1, 0.0030177608, 4.9024617e-5, 1.0
c, 0, 0.05812464, 0.02117441, 1.0
, 1, 0.0015084464, 1.2813195e-5, 1.0
p, 0, 0.11623216, 0.07786073, 1.0
, 1, 0.0030194446, 4.7635775e-5, 1.0
c, 0, 0.058125928, 0.020319173, 1.0
, 1, 0.0015098806, 1.3095886e-5, 1.0
p, 0, 0.11623542, 0.07799424, 1.0
, 1, 0.0030199103, 4.7640428e-5, 1.0
c, 0, 0.058127508, 0.02081648, 1.0
, 1, 0.0015091188, 1.3291102e-5, 1.0
p, 0, 0.116238, 0.07826806, 1.0
, 1, 0.0030200705, 4.788836e-5, 1.0
c, 0, 0.05812943, 0.020985372, 1.0
, 1, 0.0015103612, 1.3111939e-5, 1.0
p, 0, 0.116242446, 0.07856847, 1.0
, 1, 0.0030223913, 4.8192232e-5, 1.0
c, 0, 0.058131382, 0.020697044, 1.0
, 1, 0.0015109573, 1.3050925e-5, 1.0
p, 0, 0.116246805, 0.07831268, 1.0
, 1, 0.0030235387, 4.814239e-5, 1.0
c, 0, 0.058133036, 0.020436488, 1.0
, 1, 0.0015116464, 1.2698732e-5, 1.0
p, 0, 0.116249464, 0.07814612, 1.0
, 1, 0.003024578, 4.7864065e-5, 1.0
c, 0, 0.05813484, 0.020585896, 1.0
, 1, 0.0015120748, 1.2751488e-5, 1.0
p, 0, 0.116253465, 0.07842825, 1.0
, 1, 0.0030258559, 4.8182043e-5, 1.0
c, 0, 0.058136858, 0.021254025, 1.0
, 1, 0.0015127845, 1.3338215e-5, 1.0
p, 0, 0.11625701, 0.07918061, 1.0
, 1, 0.0030267835, 4.865874e-5, 1.0
c, 0, 0.058138162, 0.020771777, 1.0
, 1, 0.0015131086, 1.3438202e-5, 1.0
p, 0, 0.11626043, 0.078309596, 1.0
, 1, 0.0030279867, 4.8157777e-5, 1.0
c, 0, 0.058140002, 0.020681975, 1.0
, 1, 0.0015138984, 1.340542e-5, 1.0
p, 0, 0.11626397, 0.07899241, 1.0
, 1, 0.003028836, 4.8497815e-5, 1.0
c, 0, 0.0581415, 0.020941766, 1.0
, 1, 0.001514107, 1.3338303e-5, 1.0
p, 0, 0.11626731, 0.078638524, 1.0
, 1, 0.003030222, 4.8585436e-5, 1.0
c, 0, 0.05814378, 0.020796373, 1.0
, 1, 0.0015151072, 1.3326284e-5, 1.0
p, 0, 0.11627123, 0.07858407, 1.0
, 1, 0.0030307062, 4.8225025e-5, 1.0
c, 0, 0.05814477, 0.020937711, 1.0
, 1, 0.0015148483, 1.2934573e-5, 1.0
p, 0, 0.11627448, 0.0787408, 1.0
, 1, 0.0030321516, 4.8757047e-5, 1.0
c, 0, 0.05814722, 0.020752192, 1.0
, 1, 0.0015162472, 1.2833672e-5, 1.0
p, 0, 0.11627767, 0.078332596, 1.0
, 1, 0.0030299015, 4.793013e-5, 1.0
c, 0, 0.05814808, 0.020815909, 1.0
, 1, 0.0015139468, 1.2819682e-5, 1.0
p, 0, 0.11628102, 0.07938538, 1.0
, 1, 0.0030228272, 4.9072714e-5, 1.0
c, 0, 0.058150202, 0.020778956, 1.0
, 1, 0.0015122015, 1.2793835e-5, 1.0
p, 0, 0.11628434, 0.07847618, 1.0
, 1, 0.0030207634, 4.8231028e-5, 1.0
c, 0, 0.058151126, 0.020206714, 1.0
, 1, 0.0015099663, 1.2739515e-5, 1.0
p, 0, 0.11628701, 0.07815139, 1.0
, 1, 0.0030191466, 4.811408e-5, 1.0
c, 0, 0.05815328, 0.020699382, 1.0
, 1, 0.0015100911, 1.3251676e-5, 1.0
p, 0, 0.116291545, 0.07873722, 1.0
, 1, 0.0030145347, 4.818953e-5, 1.0
c, 0, 0.058155127, 0.020590909, 1.0
, 1, 0.0015052985, 1.2828885e-5, 1.0
p, 0, 0.11629472, 0.07813594, 1.0
, 1, 0.0030058138, 4.7518974e-5, 1.0
c, 0, 0.058156103, 0.020522242, 1.0
, 1, 0.0015015397, 1.2589044e-5, 1.0
p, 0, 0.11629638, 0.07864479, 1.0
, 1, 0.0029989034, 4.7576923e-5, 1.0
c, 0, 0.05815746, 0.020848496, 1.0
, 1, 0.001501441, 1.2517428e-5, 1.0
p, 0, 0.11630033, 0.077816285, 1.0
, 1, 0.0030009933, 4.7389727e-5, 1.0
c, 0, 0.058159642, 0.020395154, 1.0
, 1, 0.0014981739, 1.2420226e-5, 1.0
p, 0, 0.11630432, 0.0793517, 1.0
, 1, 0.0029921122, 4.784569e-5, 1.0
c, 0, 0.058161512, 0.02072494, 1.0
, 1, 0.0014992151, 1.2843921e-5, 1.0
p, 0, 0.11630872, 0.07834877, 1.0
, 1, 0.0029979944, 4.8109487e-5, 1.0
c, 0, 0.058163382, 0.020530364, 1.0
, 1, 0.0014969427, 1.2732067e-5, 1.0
p, 0, 0.11631125, 0.07785102, 1.0
, 1, 0.0029890053, 4.7054997e-5, 1.0
c, 0, 0.058164626, 0.020179335, 1.0
, 1, 0.0014951713, 1.2840001e-5, 1.0
p, 0, 0.116315156, 0.0775693, 1.0
, 1, 0.0029879399, 4.7041547e-5, 1.0
c, 0, 0.058167025, 0.020279968, 1.0
, 1, 0.001493562, 1.2579323e-5, 1.0
p, 0, 0.11631866, 0.07802754, 1.0
, 1, 0.002984047, 4.7231315e-5, 1.0
c, 0, 0.058167703, 0.020359296, 1.0
, 1, 0.0014927983, 1.2935513e-5, 1.0
p, 0, 0.11632197, 0.07788809, 1.0
, 1, 0.0029831752, 4.7402256e-5, 1.0
c, 0, 0.058170505, 0.02018372, 1.0
, 1, 0.0014906302, 1.2413047e-5, 1.0
p, 0, 0.1163254, 0.077539295, 1.0
, 1, 0.0029779114, 4.6651363e-5, 1.0
c, 0, 0.058171153, 0.020269068, 1.0
, 1, 0.0014903862, 1.22636575e-5, 1.0
p, 0, 0.116256155, 0.07719415, 1.0
, 1, 0.002978813, 4.6905876e-5, 1.0
c, 0, 0.05812551, 0.020257268, 1.0
, 1, 0.0014875196, 1.2307967e-5, 1.0
p, 0, 0.11606495, 0.077997774, 1.0
, 1, 0.0029711947, 4.6980516e-5, 1.0
c, 0, 0.058012366, 0.020918554, 1.0
, 1, 0.001488369, 1.2850961e-5, 1.0
p, 0, 0.11594269, 0.07750921, 1.0
, 1, 0.0029764324, 4.7390087e-5, 1.0
c, 0, 0.05796589, 0.020168899, 1.0
, 1, 0.0014863666, 1.2664049e-5, 1.0
p, 0, 0.11585298, 0.07743412, 1.0
, 1, 0.0029680133, 4.702004e-5, 1.0
c, 0, 0.057922266, 0.019906007, 1.0
, 1, 0.0014841557, 1.2268745e-5, 1.0
p, 0, 0.11575514, 0.076956674, 1.0
, 1, 0.0029659718, 4.6520705e-5, 1.0
c, 0, 0.05787211, 0.020006785, 1.0
, 1, 0.0014831293, 1.2301274e-5, 1.0
p, 0, 0.11565928, 0.076668635, 1.0
, 1, 0.0029635727, 4.6451547e-5, 1.0
c, 0, 0.057824634, 0.019773144, 1.0
, 1, 0.0014815647, 1.2203794e-5, 1.0
p, 0, 0.11555487, 0.076393746, 1.0
, 1, 0.0029603466, 4.59537e-5, 1.0
c, 0, 0.057770908, 0.019710222, 1.0
, 1, 0.0014803465, 1.2111582e-5, 1.0
p, 0, 0.11545493, 0.07629118, 1.0
, 1, 0.0029582903, 4.61328e-5, 1.0
c, 0, 0.057722874, 0.020068653, 1.0
, 1, 0.0014787856, 1.2305201e-5, 1.0
p, 0, 0.11536056, 0.076677196, 1.0
, 1, 0.0029547662, 4.6418034e-5, 1.0
c, 0, 0.05767534, 0.020180026, 1.0
, 1, 0.0014778152, 1.2256547e-5, 1.0
p, 0, 0.115260385, 0.076936334, 1.0
, 1, 0.002953373, 4.6378398e-5, 1.0
c, 0, 0.05762416, 0.020025332, 1.0
, 1, 0.0014759563, 1.2271322e-5, 1.0
p, 0, 0.11516294, 0.076417364, 1.0
, 1, 0.0029489808, 4.6059584e-5, 1.0
c, 0, 0.05757706, 0.020165768, 1.0
, 1, 0.0014753677, 1.2842898e-5, 1.0
p, 0, 0.11507091, 0.07715044, 1.0
, 1, 0.002948735, 4.707699e-5, 1.0
c, 0, 0.05753105, 0.01974491, 1.0
, 1, 0.0014730059, 1.2048288e-5, 1.0
p, 0, 0.11497383, 0.07606955, 1.0
, 1, 0.0029428005, 4.582604e-5, 1.0
c, 0, 0.057481237, 0.019886782, 1.0
, 1, 0.0014731754, 1.2330387e-5, 1.0
p, 0, 0.11488077, 0.07628692, 1.0
, 1, 0.0029448904, 4.6373607e-5, 1.0
c, 0, 0.057435855, 0.01962922, 1.0
, 1, 0.0014698487, 1.197176e-5, 1.0
p, 0, 0.1147863, 0.07557158, 1.0
, 1, 0.0029358417, 4.528722e-5, 1.0
c, 0, 0.057388313, 0.019494811, 1.0
, 1, 0.001471296, 1.222146e-5, 1.0
p, 0, 0.11469582, 0.075388394, 1.0
, 1, 0.0029433481, 4.6176796e-5, 1.0
c, 0, 0.0573432, 0.019494602, 1.0
, 1, 0.0014699269, 1.1846635e-5, 1.0
p, 0, 0.11460137, 0.075733215, 1.0
