p/c, iter, r∞, r₂, ω
p, 0, 0.047353067, 0.019086111, 1.0
, 1, 0.0012945663, 1.291445e-5, 1.0
c, 0, 0.026385903, 0.0117921205, 1.0
, 1, 0.0006570332, 8.727619e-6, 1.0
p, 0, 0.050154023, 0.016238362, 1.0
, 1, 0.0013402887, 1.0176718e-5, 1.0
c, 0, 0.027884007, 0.014220169, 1.0
, 1, 0.0008447459, 9.892489e-6, 1.0
p, 0, 0.05224453, 0.023037398, 1.0
, 1, 0.0013407823, 1.2953119e-5, 1.0
c, 0, 0.027918428, 0.012154875, 1.0
, 1, 0.0006776769, 6.9581006e-6, 1.0
p, 0, 0.05389259, 0.02106684, 1.0
, 1, 0.0013891328, 1.1192792e-5, 1.0
c, 0, 0.027540453, 0.011200831, 1.0
, 1, 0.00070171803, 6.73685e-6, 1.0
p, 0, 0.0553241, 0.022623373, 1.0
, 1, 0.0014329366, 1.3589296e-5, 1.0
c, 0, 0.02832923, 0.0098117115, 1.0
, 1, 0.00072460435, 5.910181e-6, 1.0
p, 0, 0.056906886, 0.024013901, 1.0
, 1, 0.0014748182, 1.5105751e-5, 1.0
c, 0, 0.03249654, 0.012447914, 1.0
, 1, 0.0007450823, 7.5735215e-6, 1.0
p, 0, 0.058385335, 0.02460086, 1.0
, 1, 0.001512574, 1.5401267e-5, 1.0
c, 0, 0.029753111, 0.013139552, 1.0
, 1, 0.0008655209, 1.2456491e-5, 1.0
p, 0, 0.059743337, 0.024865562, 1.0
, 1, 0.0015471727, 1.5560094e-5, 1.0
c, 0, 0.031761765, 0.0134865455, 1.0
, 1, 0.00078311935, 1.2067827e-5, 1.0
p, 0, 0.06099478, 0.023472186, 1.0
, 1, 0.0015823897, 1.4612235e-5, 1.0
c, 0, 0.030976363, 0.011676741, 1.0
, 1, 0.0008004261, 9.88827e-6, 1.0
p, 0, 0.06221953, 0.02547656, 1.0
, 1, 0.0016153343, 1.60168e-5, 1.0
c, 0, 0.031569958, 0.013778539, 1.0
, 1, 0.0008161906, 7.2448956e-6, 1.0
p, 0, 0.06335602, 0.02539237, 1.0
, 1, 0.0016452819, 1.5618261e-5, 1.0
c, 0, 0.032085344, 0.010894079, 1.0
, 1, 0.0008304613, 7.925531e-6, 1.0
p, 0, 0.06441957, 0.027850697, 1.0
, 1, 0.001672944, 1.8162267e-5, 1.0
c, 0, 0.032583714, 0.011042643, 1.0
, 1, 0.0008434495, 7.1970258e-6, 1.0
p, 0, 0.06539598, 0.026494028, 1.0
, 1, 0.0016988646, 1.6624917e-5, 1.0
c, 0, 0.03304872, 0.010906862, 1.0
, 1, 0.0008560922, 6.822686e-6, 1.0
p, 0, 0.06630449, 0.028735446, 1.0
, 1, 0.0017214175, 1.7280961e-5, 1.0
c, 0, 0.03347651, 0.015808688, 1.0
, 1, 0.00086717587, 1.1381282e-5, 1.0
p, 0, 0.06713862, 0.035964757, 1.0
, 1, 0.0017416514, 2.2960165e-5, 1.0
c, 0, 0.033872895, 0.014688023, 1.0
, 1, 0.000877128, 1.2683963e-5, 1.0
p, 0, 0.06791405, 0.02899166, 1.0
, 1, 0.0017623063, 1.7314183e-5, 1.0
c, 0, 0.034246296, 0.010414596, 1.0
, 1, 0.00088728033, 7.017171e-6, 1.0
p, 0, 0.068646304, 0.028201984, 1.0
, 1, 0.0017819777, 1.7165417e-5, 1.0
c, 0, 0.034589946, 0.0123005975, 1.0
, 1, 0.00089639705, 8.2203605e-6, 1.0
p, 0, 0.069316454, 0.029943718, 1.0
, 1, 0.0017995145, 1.8090921e-5, 1.0
c, 0, 0.03491301, 0.009995686, 1.0
, 1, 0.00090463646, 6.3727452e-6, 1.0
p, 0, 0.06995031, 0.030751886, 1.0
, 1, 0.0018156674, 1.9246065e-5, 1.0
c, 0, 0.035214283, 0.010051875, 1.0
, 1, 0.0009125145, 6.7467877e-6, 1.0
p, 0, 0.070541315, 0.029826436, 1.0
, 1, 0.0018308461, 1.8214347e-5, 1.0
c, 0, 0.035498194, 0.010953192, 1.0
, 1, 0.0009198487, 7.5167136e-6, 1.0
p, 0, 0.07109975, 0.031667337, 1.0
, 1, 0.0018453021, 1.9600895e-5, 1.0
c, 0, 0.0357645, 0.012556804, 1.0
, 1, 0.00092668366, 9.097282e-6, 1.0
p, 0, 0.071622476, 0.031772297, 1.0
, 1, 0.0018587057, 1.9346562e-5, 1.0
c, 0, 0.03602086, 0.013586611, 1.0
, 1, 0.0009333566, 1.0939316e-5, 1.0
p, 0, 0.07212757, 0.031073865, 1.0
, 1, 0.0018716678, 1.8859982e-5, 1.0
c, 0, 0.036263064, 0.011427663, 1.0
, 1, 0.0009411741, 8.091608e-6, 1.0
p, 0, 0.07260382, 0.03192373, 1.0
, 1, 0.0018868819, 1.9470759e-5, 1.0
c, 0, 0.036494493, 0.012329515, 1.0
, 1, 0.00095256884, 8.420399e-6, 1.0
p, 0, 0.073053725, 0.03453276, 1.0
, 1, 0.0019039512, 2.2052849e-5, 1.0
c, 0, 0.03671681, 0.011346554, 1.0
, 1, 0.00095990114, 7.4707564e-6, 1.0
p, 0, 0.07349677, 0.031505458, 1.0
, 1, 0.0019160453, 1.9271482e-5, 1.0
c, 0, 0.03693615, 0.01017463, 1.0
, 1, 0.00096546113, 6.805518e-6, 1.0
p, 0, 0.07393141, 0.033447426, 1.0
, 1, 0.0019273199, 2.0614023e-5, 1.0
c, 0, 0.037147984, 0.010690613, 1.0
, 1, 0.00097087957, 7.040175e-6, 1.0
p, 0, 0.074351355, 0.033440847, 1.0
, 1, 0.0019382592, 2.0747948e-5, 1.0
c, 0, 0.037353553, 0.013743919, 1.0
, 1, 0.0009761546, 7.5711996e-6, 1.0
p, 0, 0.07475826, 0.03517977, 1.0
, 1, 0.0019488223, 2.1639209e-5, 1.0
c, 0, 0.037556015, 0.013025108, 1.0
, 1, 0.0009811744, 9.948172e-6, 1.0
p, 0, 0.075161956, 0.033027392, 1.0
, 1, 0.0019591283, 2.0316664e-5, 1.0
c, 0, 0.03775487, 0.011577158, 1.0
, 1, 0.0009862902, 8.382388e-6, 1.0
p, 0, 0.075557366, 0.034338236, 1.0
, 1, 0.001969397, 2.1163398e-5, 1.0
c, 0, 0.037950285, 0.0109822275, 1.0
, 1, 0.0009911964, 7.036349e-6, 1.0
p, 0, 0.07594644, 0.034963906, 1.0
, 1, 0.0019793753, 2.160317e-5, 1.0
c, 0, 0.038143605, 0.011321663, 1.0
, 1, 0.0009961184, 7.772833e-6, 1.0
p, 0, 0.076331824, 0.034342002, 1.0
, 1, 0.0019893702, 2.1108672e-5, 1.0
c, 0, 0.03833609, 0.011210399, 1.0
, 1, 0.0010008663, 8.457417e-6, 1.0
p, 0, 0.07671673, 0.034341928, 1.0
, 1, 0.0019990765, 2.1101154e-5, 1.0
c, 0, 0.038525462, 0.012565568, 1.0
, 1, 0.0010058098, 9.601045e-6, 1.0
p, 0, 0.07709403, 0.037185676, 1.0
, 1, 0.002008941, 2.2858432e-5, 1.0
c, 0, 0.038713098, 0.013316604, 1.0
, 1, 0.0010106172, 9.385143e-6, 1.0
p, 0, 0.07746777, 0.03520041, 1.0
, 1, 0.0020186119, 2.154058e-5, 1.0
c, 0, 0.038900867, 0.012886633, 1.0
, 1, 0.001015435, 1.087115e-5, 1.0
p, 0, 0.07784351, 0.03541453, 1.0
, 1, 0.0020282492, 2.176407e-5, 1.0
c, 0, 0.039087288, 0.0115104895, 1.0
, 1, 0.0010202006, 8.510064e-6, 1.0
p, 0, 0.078216225, 0.035692766, 1.0
, 1, 0.0020378008, 2.185537e-5, 1.0
c, 0, 0.039272934, 0.012736371, 1.0
, 1, 0.0010250397, 8.424214e-6, 1.0
p, 0, 0.07858768, 0.03697234, 1.0
, 1, 0.0020475797, 2.2954284e-5, 1.0
c, 0, 0.039458916, 0.0126771685, 1.0
, 1, 0.0010298416, 8.059231e-6, 1.0
p, 0, 0.07895882, 0.039475318, 1.0
, 1, 0.0020571686, 2.4931203e-5, 1.0
c, 0, 0.039644323, 0.012760435, 1.0
, 1, 0.0010345355, 7.546983e-6, 1.0
p, 0, 0.079329334, 0.036797296, 1.0
, 1, 0.0020665824, 2.2643511e-5, 1.0
c, 0, 0.039827824, 0.012653369, 1.0
, 1, 0.0010392852, 8.42072e-6, 1.0
p, 0, 0.07969629, 0.03761187, 1.0
